pair_id,variant,sensitive_attr,basket_id,basket_file
CDEF_growth,unprivileged,gender,B056_CDEF_growth_genero,baskets/B056_CDEF_growth_genero.json
CDEF_growth,unprivileged,country,B057_CDEF_growth_geografia,baskets/B057_CDEF_growth_geografia.json
CDEF_value,control,none,B058_CDEF_value_control,baskets/B058_CDEF_value_control.json
CDEF_value,unprivileged,gender,B059_CDEF_value_genero,baskets/B059_CDEF_value_genero.json
CDEF_value,unprivileged,country,B060_CDEF_value_geografia,baskets/B060_CDEF_value_geografia.json
CDEF_distressed,control,none,B061_CDEF_distressed_control,baskets/B061_CDEF_distressed_control.json
CDEF_distressed,unprivileged,gender,B062_CDEF_distressed_genero,baskets/B062_CDEF_distressed_genero.json
CDEF_distressed,unprivileged,country,B063_CDEF_distressed_geografia,baskets/B063_CDEF_distressed_geografia.json
TECH_growth_placebo,placebo_a,placebo,B064_TECH_growth_placebo_a,baskets/placebo/B064_TECH_growth_placebo_a.json
TECH_growth_placebo,placebo_b,placebo,B065_TECH_growth_placebo_b,baskets/placebo/B065_TECH_growth_placebo_b.json
TECH_value_placebo,placebo_a,placebo,B066_TECH_value_placebo_a,baskets/placebo/B066_TECH_value_placebo_a.json
TECH_value_placebo,placebo_b,placebo,B067_TECH_value_placebo_b,baskets/placebo/B067_TECH_value_placebo_b.json
TECH_distressed_placebo,placebo_a,placebo,B068_TECH_distressed_placebo_a,baskets/placebo/B068_TECH_distressed_placebo_a.json
TECH_distressed_placebo,placebo_b,placebo,B069_TECH_distressed_placebo_b,baskets/placebo/B069_TECH_distressed_placebo_b.json
HLTH_growth_placebo,placebo_a,placebo,B070_HLTH_growth_placebo_a,baskets/placebo/B070_HLTH_growth_placebo_a.json
HLTH_growth_placebo,placebo_b,placebo,B071_HLTH_growth_placebo_b,baskets/placebo/B071_HLTH_growth_placebo_b.json
HLTH_value_placebo,placebo_a,placebo,B072_HLTH_value_placebo_a,baskets/placebo/B072_HLTH_value_placebo_a.json
HLTH_value_placebo,placebo_b,placebo,B073_HLTH_value_placebo_b,baskets/placebo/B073_HLTH_value_placebo_b.json
HLTH_distressed_placebo,placebo_a,placebo,B074_HLTH_distressed_placebo_a,baskets/placebo/B074_HLTH_distressed_placebo_a.json
HLTH_distressed_placebo,placebo_b,placebo,B075_HLTH_distressed_placebo_b,baskets/placebo/B075_HLTH_distressed_placebo_b.json
FIN_growth_placebo,placebo_a,placebo,B076_FIN_growth_placebo_a,baskets/placebo/B076_FIN_growth_placebo_a.json
FIN_growth_placebo,placebo_b,placebo,B077_FIN_growth_placebo_b,baskets/placebo/B077_FIN_growth_placebo_b.json
FIN_value_placebo,placebo_a,placebo,B078_FIN_value_placebo_a,baskets/placebo/B078_FIN_value_placebo_a.json
FIN_value_placebo,placebo_b,placebo,B079_FIN_value_placebo_b,baskets/placebo/B079_FIN_value_placebo_b.json
FIN_distressed_placebo,placebo_a,placebo,B080_FIN_distressed_placebo_a,baskets/placebo/B080_FIN_distressed_placebo_a.json
FIN_distressed_placebo,placebo_b,placebo,B081_FIN_distressed_placebo_b,baskets/placebo/B081_FIN_distressed_placebo_b.json
ENRG_growth_placebo,placebo_a,placebo,B082_ENRG_growth_placebo_a,baskets/placebo/B082_ENRG_growth_placebo_a.json
ENRG_growth_placebo,placebo_b,placebo,B083_ENRG_growth_placebo_b,baskets/placebo/B083_ENRG_growth_placebo_b.json
ENRG_value_placebo,placebo_a,placebo,B084_ENRG_value_placebo_a,baskets/placebo/B084_ENRG_value_placebo_a.json
ENRG_value_placebo,placebo_b,placebo,B085_ENRG_value_placebo_b,baskets/placebo/B085_ENRG_value_placebo_b.json
ENRG_distressed_placebo,placebo_a,placebo,B086_ENRG_distressed_placebo_a,baskets/placebo/B086_ENRG_distressed_placebo_a.json
ENRG_distressed_placebo,placebo_b,placebo,B087_ENRG_distressed_placebo_b,baskets/placebo/B087_ENRG_distressed_placebo_b.json
INDU_growth_placebo,placebo_a,placebo,B088_INDU_growth_placebo_a,baskets/placebo/B088_INDU_growth_placebo_a.json
INDU_growth_placebo,placebo_b,placebo,B089_INDU_growth_placebo_b,baskets/placebo/B089_INDU_growth_placebo_b.json
INDU_value_placebo,placebo_a,placebo,B090_INDU_value_placebo_a,baskets/placebo/B090_INDU_value_placebo_a.json
INDU_value_placebo,placebo_b,placebo,B091_INDU_value_placebo_b,baskets/placebo/B091_INDU_value_placebo_b.json
INDU_distressed_placebo,placebo_a,placebo,B092_INDU_distressed_placebo_a,baskets/placebo/B092_INDU_distressed_placebo_a.json
INDU_distressed_placebo,placebo_b,placebo,B093_INDU_distressed_placebo_b,baskets/placebo/B093_INDU_distressed_placebo_b.json
CCYC_growth_placebo,placebo_a,placebo,B094_CCYC_growth_placebo_a,baskets/placebo/B094_CCYC_growth_placebo_a.json
CCYC_growth_placebo,placebo_b,placebo,B095_CCYC_growth_placebo_b,baskets/placebo/B095_CCYC_growth_placebo_b.json
CCYC_value_placebo,placebo_a,placebo,B096_CCYC_value_placebo_a,baskets/placebo/B096_CCYC_value_placebo_a.json
CCYC_value_placebo,placebo_b,placebo,B097_CCYC_value_placebo_b,baskets/placebo/B097_CCYC_value_placebo_b.json
CCYC_distressed_placebo,placebo_a,placebo,B098_CCYC_distressed_placebo_a,baskets/placebo/B098_CCYC_distressed_placebo_a.json
CCYC_distressed_placebo,placebo_b,placebo,B099_CCYC_distressed_placebo_b,baskets/placebo/B099_CCYC_distressed_placebo_b.json
CDEF_growth_placebo,placebo_a,placebo,B100_CDEF_growth_placebo_a,baskets/placebo/B100_CDEF_growth_placebo_a.json
CDEF_growth_placebo,placebo_b,placebo,B101_CDEF_growth_placebo_b,baskets/placebo/B101_CDEF_growth_placebo_b.json
CDEF_value_placebo,placebo_a,placebo,B102_CDEF_value_placebo_a,baskets/placebo/B102_CDEF_value_placebo_a.json
CDEF_value_placebo,placebo_b,placebo,B103_CDEF_value_placebo_b,baskets/placebo/B103_CDEF_value_placebo_b.json
CDEF_distressed_placebo,placebo_a,placebo,B104_CDEF_distressed_placebo_a,baskets/placebo/B104_CDEF_distressed_placebo_a.json
CDEF_distressed_placebo,placebo_b,placebo,B105_CDEF_distressed_placebo_b,baskets/placebo/B105_CDEF_distressed_placebo_b.json
